Term,Count,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
play,4446,0.0020443925,0.0063235294,0.0046519414,0.0048442828,0.0032569286,0.005105438,0.0049147634,0.0037882505,0.0040351506,0.0044653113,0.0041600615,0.0034350264,0.0042082174,0.004322805,0.0034460993,0.0031439143,0.0036344659,0.0041516605
audience,2463,0.0043808413,0.0036764706,0.003612303,0.0023929588,0.0017052786,0.002071772,0.0028016525,0.0022572477,0.0018681253,0.00234034,0.0017555245,0.0016835702,0.0021806217,0.0024625268,0.002166607,0.0018179097,0.0021993178,0.0021508604
like,2285,0.0011682243,0.0016544118,0.0023259707,0.0022061914,0.0027653167,0.0027376988,0.0021605964,0.002610556,0.0019428503,0.0018521709,0.0021704668,0.0020094225,0.0017342957,0.002114561,0.0020983673,0.001860684,0.0019011053,0.0025510204
stage,2178,0.0017523364,0.0022794118,0.0018061515,0.002766494,0.0026885024,0.0023924035,0.0021131109,0.0017272852,0.0014496653,0.0020962555,0.0016278501,0.001737879,0.0018745696,0.0021680943,0.0022689663,0.0020103941,0.0021061264,0.0023009204
theatre,2037,0.0026285048,0.0017647059,0.001814962,0.0014824672,0.00165919,0.0017264767,0.0018281969,0.0011580662,0.0025555955,0.00234034,0.002191746,0.00211804,0.0020913566,0.0019271949,0.0019618883,0.0014757148,0.0018079138,0.0024009603
production,1679,0.0023364485,0.0014705883,0.0013215742,0.0014007564,0.0016438272,0.0013071896,0.0014008263,0.0013936051,0.0015094453,0.0015650126,0.0013512219,0.0014934897,0.0015812695,0.0021680943,0.0016889299,0.0015184892,0.0022179561,0.0024509805
performance,1620,0.0011682243,0.0017279412,0.001832583,0.0015991969,0.0012597555,0.0015045012,0.0024217675,0.0019431958,0.0016588953,0.001507581,0.0013618615,0.0012626777,0.0012624653,0.0012981798,0.0014330314,0.0013046175,0.001230127,0.0018007202
dance,1618,0.0011682243,0.0014705883,0.001920688,0.0014707942,0.0015670129,0.0016524849,0.00068854174,0.0007655014,0.0009863701,0.0018808867,0.0015320942,0.0013712951,0.0015557653,0.0011911135,0.0017401095,0.002865881,0.0016588075,0.0007503001
actors,1496,0.0017523364,0.0020588236,0.0010572594,0.0013657375,0.0013672955,0.0014798372,0.0012821122,0.0016291441,0.0014347202,0.0015362968,0.0022023853,0.0012083689,0.0011476957,0.0011509636,0.0012112528,0.0010907458,0.001621531,0.0013505402
characters,1494,0,0.0015441177,0.0015065947,0.0012840267,0.0014133841,0.0016278209,0.0014483118,0.0016487723,0.0016887853,0.0014070756,0.0014256987,0.0011133287,0.00096916524,0.0014186295,0.0015695106,0.0013473919,0.0015842543,0.00095038017
time,1476,0.0008761682,0.0011397059,0.0016387521,0.0016925806,0.0012751183,0.0017264767,0.0018756826,0.0013739769,0.0010013152,0.0014501493,0.001117152,0.0010318656,0.0013007218,0.0014587794,0.0014330314,0.0015826507,0.0012114886,0.0013005203
work,1470,0.0011682243,0.0006985294,0.0007224606,0.0010155484,0.00078350643,0.00086323835,0.00097345555,0.0006673602,0.0011657102,0.001507581,0.0019151177,0.0015749529,0.001976587,0.0018468951,0.0022177866,0.0020959429,0.0017892756,0.0010504202
show,1406,0.0020443925,0.000992647,0.0010572594,0.0013423916,0.0012290297,0.000517943,0.0006410561,0.0008636426,0.0013599952,0.0012634965,0.0012341869,0.0020229998,0.0017853044,0.0016729122,0.0015695106,0.0016895866,0.0012114886,0.0010004002
