Document,Left,Term,Right
0,no less - who propositioned the ,audience, with a potent mix of
0,Sebastian Tan) who wowed the ,audience, with sultry vocals and synthetic
0,"of Teresa Teng, sending the ",audience, into hysterical fits with her
0,"with live music, invited the ",audience, to a mostly unfamiliar but
0,the most familiar to the ,audience,. 'Sa Kabukiran' ('In the Countryside
0,extending their warmth to the ,audience,. It was wonderful to see
0,to much excitement. Soon the ,audience, was engaged in this extremely
0,"dog, for example had the ",audience, in stiches. Some of the
0,of the ladies in the ,audience, whooped in shock (or delight
0,of teenagers and adults. The ,audience, settled in quite quickly; and
0,"hour show, he tickled the ",audience, with his spoofs on various
0,some youthful members of the ,audience,. Don't suppose one could use
0,understand why. Hersch makes the ,audience, feel completely at home. You'll
0,simple act also gave the ,audience, a false sense that the
0,"his knowledge. And thus, the ",audience, become guests to this party
1,little dramatic action to sustain ,audience, interest. Considering that the play's
1,"comprehension of each other), the ",audience, constantly has to abandon their
1,"the action on-stage, the ",audience, was forced to see the
1,self-reflexive play interrogates the ,audience,". In stunning simplicity, LEAR questions"
1,play only succeeds when the ,audience, is drawn utterly into Emily's
1,"great loss and disillusionment, the ",audience, finds itself strangely disengaged; it
1,the divide between stage and ,audience, was too marked to create
1,an uninformed member of the ,audience,", I would prefer to just"
1,alone would have informed the ,audience, of each particular period of
1,without having to drown the ,audience, in excruciating ponderousness. Effort should
1,towards a secondary school-going ,audience,", POSITIVE presents the facts about"
1,entertain its primarily AIDS-unaware ,audience, on the most surface level
1,directing these directly at the ,audience, instead of the characters on
1,more effectively to their intended ,audience,", reaching out to them, as"
1,expectations and mindset of the ,audience,. Would that they also absorbed
1,Maybe it was because the ,audience, wasn't sufficiently warmed up or
1,jokes were relevant to the ,audience, at least one point of
1,effective tool in telling the ,audience, that sex is also a
1,of the members in the ,audience, felt disappointed by the amateur
1,X-Files disappearance of the ,audience, started after VIVA VIAGRA! Admittedly
1,start of the musical the ,audience, is given a gist of
1,in the air for the ,audience, to juggle as we see
1,limelight as they wooed the ,audience, with their infectious tunes. Leow
1,made so many in the ,audience, shed a tear of him
1,grim and the reflective. The ,audience, is thus thrown into a
1,"reels from ""privileged revelation"", the ",audience, becomes drawn into his growing
1,"fallen state of humanity, the ",audience, can almost feel the biting
1,"any sense of reality, the ",audience, is made to abandon the
1,"between playwright, play, actor and ",audience, narrows. Because THE LION IN
1,"because interpretation is implicated, the ",audience, becomes implicated as spectator into
1,"racial or occupational. Thus, the ",audience, is keyed in to the
1,"The Chief's Son"", invites the ",audience, to look into the singular
1,flute strains to prepare the ,audience, for a 'quieter' and more
1,the English language started. Any ,audience, engagement was thus lost and
1,of the play had the ,audience, scattered around in random seats
1,shocking scandals to the voyeuristic ,audience,. Yet beneath the initial excitement
1,as the play progressed. The ,audience, had to shift incessantly just
1,"his story to us, the ",audience,", as he wants us to"
1,the Aristotelian theatre where the ,audience, was asked to identify with
1,"Through the silent narrator, the ",audience, is shown a myriad of
1,Eventually it will lead the ,audience, through a short glimpse of
1,"compassion, the play engages the ",audience, with poignant scenes of human
1,"putting on plays, where the ",audience," sits on the floor, engaged"
1,of the breakdown between the ,audience, and actors that such a
1,"up within the theatrette, the ",audience, was able to physically feel
1,links between actors and the ,audience,". But sadly, not many of"
1,"mature, which gave the older ",audience, something to think about and
1,did not alienate the younger ,audience,". Moreover, the play was coherent"
1,which provoked laughter form the ,audience,", detracting from the tragedy of"
1,disheartening fact that the younger ,audience, clearly enjoyed the play by
1,the credit of the discerning ,audience, that his ridiculously mannered and
1,in the mouths of the ,audience, well to the end of
1,and leaves it to the ,audience, to make their own minds
1,to the point that the ,audience, feels almost disengaged after a
1,cannot help but win the ,audience, over. That is until Harwood's
1,held the actors and the ,audience,", and so it keeps its"
1,relax rigid expectations of the ,audience,", as there were some glaring"
1,the most laughs form the ,audience,", with its diva-like affections"
1,for the benefit of the ,audience,. And he knowingly puts himself
1,positions where the distinct between ,audience,/performer and puppet/puppeteer breaks
1,"performance, deliberately stared at the ",audience, in dazed incredulity as if
1,"watching him, such that the ",audience," becomes uncomfortable, some not knowing"
1,"a whole, it enthrals the ",audience, in its ambiguous force. Shame
1,more than win over the ,audience,. Other songs were less winning
1,"Loong family, any reduction in ",audience, engagement is tragic. Is it
1,the most part of the ,audience,", this was their annual foray"
1,well in view of the ,audience, and the actors changed their
1,costumes standing next to the ,audience,. Yet the audience was addressed
1,to the audience. Yet the ,audience, was addressed by the actors
