nodes,edges,density,components
13, 78, 1.0, 1
15, 87, 0.828571428571, 1
39, 411, 0.554655870445, 1
44, 426, 0.450317124736, 1
51, 630, 0.494117647059, 1
51, 630, 0.494117647059, 1
54, 633, 0.442348008386, 2
54, 633, 0.442348008386, 2
57, 636, 0.398496240602, 3
57, 636, 0.398496240602, 3
61, 651, 0.355737704918, 2
66, 686, 0.319813519814, 2
70, 725, 0.300207039337, 2
79, 826, 0.268094774424, 2
87, 1122, 0.299919807538, 2
87, 1171, 0.31301790965, 2
89, 1188, 0.303370786517, 2
108, 1523, 0.263586015922, 1
109, 1533, 0.260448521916, 1
120, 1715, 0.240196078431, 1
124, 1832, 0.240230789405, 1
133, 2063, 0.235019366598, 1
139, 2090, 0.217912626421, 1
139, 2092, 0.21812115525, 1
159, 2438, 0.194092827004, 1
162, 2474, 0.189709378115, 1
170, 2631, 0.183153498086, 1
174, 2655, 0.176400239187, 1
174, 2655, 0.176400239187, 1
187, 2942, 0.169167960439, 1
187, 3006, 0.17284802484, 1
188, 3009, 0.171179883946, 1
217, 3893, 0.166111964499, 1
222, 3928, 0.16012392483, 1
222, 3928, 0.16012392483, 1
224, 3929, 0.157311018578, 2
228, 3987, 0.154069093438, 2
230, 4036, 0.15325612303, 2
264, 5133, 0.147856895956, 2
277, 5411, 0.141552869774, 2
285, 5591, 0.138151717321, 2
290, 5739, 0.136952630951, 2
293, 5855, 0.13686941886, 2
293, 5855, 0.13686941886, 2
293, 5855, 0.13686941886, 2
300, 5923, 0.132062430323, 2
304, 6012, 0.130536737884, 2
305, 6015, 0.129745470233, 2
325, 6500, 0.123456790123, 2
326, 6512, 0.122925908447, 2
340, 7057, 0.122453583203, 2
340, 7057, 0.122453583203, 2
362, 7683, 0.117583140754, 2
362, 7683, 0.117583140754, 2
365, 7699, 0.115896432335, 2
370, 7724, 0.113147293635, 2
376, 7764, 0.110127659574, 2
376, 7764, 0.110127659574, 2
383, 7832, 0.107063278334, 2
383, 7832, 0.107063278334, 2
385, 7867, 0.106425865801, 2
388, 7870, 0.104824316045, 3
391, 7902, 0.103639582923, 3
391, 7902, 0.103639582923, 3
393, 7914, 0.102741860103, 3
396, 7940, 0.10152154456, 3
419, 8717, 0.0995420858503, 3
423, 8787, 0.098450472253, 3
428, 8866, 0.0970255422531, 3
428, 8866, 0.0970255422531, 3
432, 8896, 0.0955572742116, 3
432, 8896, 0.0955572742116, 3
433, 8945, 0.0956398083996, 3
442, 9055, 0.0929089584552, 3
442, 9055, 0.0929089584552, 3
445, 9079, 0.0919020143739, 3
448, 9142, 0.0913031319911, 3
448, 9142, 0.0913031319911, 3
448, 9142, 0.0913031319911, 3
448, 9146, 0.0913430808565, 3
448, 9146, 0.0913430808565, 3
448, 9146, 0.0913430808565, 3
448, 9146, 0.0913430808565, 3
448, 9146, 0.0913430808565, 3
448, 9146, 0.0913430808565, 3
457, 9182, 0.0881223847365, 4
467, 9227, 0.0847984119253, 5
469, 9232, 0.0841215169573, 5
469, 9232, 0.0841215169573, 5
