Time,Image difference number,Frame number,Non-identical pixels,Scene Number,Scene Type
00:00:00,0,0,0,1,frame
00:00:09,1,150,343.666666666667,1,frame
00:00:18,2,300,772.333333333333,1,frame
00:00:27,3,450,62.3333333333333,1,frame
00:00:36,4,600,220,1,frame
00:00:45,5,750,214.333333333333,1,frame
00:00:54,6,900,0,1,frame
00:01:03,7,1050,41.3333333333333,1,frame
00:01:12,8,1200,32.3333333333333,1,frame
00:01:21,9,1350,260.333333333333,1,frame
00:01:30,10,1500,409,1,frame
00:01:39,11,1650,45.6666666666667,1,frame
00:01:48,12,1800,76.3333333333333,1,frame
00:01:57,13,1950,0.333333333333333,1,frame
00:02:06,14,2100,398.333333333333,1,frame
00:02:15,15,2250,0.666666666666667,1,frame
00:02:24,16,2400,255.333333333333,1,frame
00:02:33,17,2550,355,1,frame
00:02:42,18,2700,917.666666666667,1,frame
00:02:51,19,2850,1210.66666666667,1,frame
00:03:00,20,3000,507.666666666667,1,frame
00:03:09,21,3150,625.666666666667,1,frame
00:03:18,22,3300,310,1,frame
00:03:27,23,3450,0.333333333333333,1,frame
00:03:36,24,3600,13.6666666666667,1,frame
00:03:45,25,3750,198,1,frame
00:03:54,26,3900,1605,2,normal
00:04:03,27,4050,0,2,normal
00:04:12,28,4200,1299.66666666667,2,normal
00:04:21,29,4350,474.333333333333,2,normal
00:04:30,30,4500,596,2,normal
00:04:39,31,4650,1182.66666666667,2,normal
00:04:48,32,4800,234.666666666667,2,normal
00:04:57,33,4950,1203.66666666667,2,normal
00:05:06,34,5100,667.333333333333,2,normal
00:05:15,35,5250,998.333333333333,2,normal
00:05:24,36,5400,874,2,normal
00:05:33,37,5550,1765.66666666667,2,normal
00:05:42,38,5700,97.3333333333333,2,normal
00:05:51,39,5850,282.666666666667,2,normal
00:06:00,40,6000,105,2,normal
00:06:09,41,6150,2196.33333333333,2,normal
00:06:18,42,6300,396,2,normal
00:06:27,43,6450,945.666666666667,2,normal
00:06:36,44,6600,1048,2,normal
00:06:45,45,6750,267.666666666667,2,normal
00:06:54,46,6900,2.66666666666667,2,normal
00:07:03,47,7050,166,2,normal
00:07:12,48,7200,113.666666666667,2,normal
00:07:21,49,7350,423.666666666667,2,normal
00:07:30,50,7500,604.333333333333,2,normal
00:07:39,51,7650,275.333333333333,2,normal
00:07:48,52,7800,1531.66666666667,2,normal
00:07:57,53,7950,1208,2,normal
00:08:06,54,8100,87.6666666666667,3,normal
00:08:15,55,8250,382.333333333333,3,normal
00:08:24,56,8400,458.333333333333,3,normal
00:08:33,57,8550,1164.66666666667,3,normal
00:08:42,58,8700,2271,3,normal
00:08:51,59,8850,439.666666666667,3,normal
00:09:00,60,9000,1554.33333333333,3,normal
00:09:09,61,9150,980,3,normal
00:09:18,62,9300,136.333333333333,3,normal
00:09:27,63,9450,1266.33333333333,3,normal
00:09:36,64,9600,500.333333333333,3,normal
00:09:45,65,9750,217.333333333333,3,normal
00:09:54,66,9900,446.666666666667,3,normal
00:10:03,67,10050,0.666666666666667,3,normal
00:10:12,68,10200,135,3,normal
00:10:21,69,10350,46,3,normal
00:10:30,70,10500,1307,3,normal
00:10:39,71,10650,247,3,normal
00:10:48,72,10800,581.333333333333,3,normal
00:10:57,73,10950,119,3,normal
00:11:06,74,11100,473,3,normal
00:11:15,75,11250,134.333333333333,3,normal
00:11:24,76,11400,353.666666666667,3,normal
00:11:33,77,11550,73.6666666666667,3,normal
00:11:42,78,11700,385.666666666667,3,normal
00:11:51,79,11850,1363.33333333333,3,normal
00:12:00,80,12000,131,3,normal
00:12:09,81,12150,382.666666666667,3,normal
00:12:18,82,12300,574,3,normal
00:12:27,83,12450,592.666666666667,3,normal
00:12:36,84,12600,394.666666666667,3,normal
00:12:45,85,12750,198.666666666667,3,normal
00:12:54,86,12900,227.666666666667,3,normal
00:13:03,87,13050,282,3,normal
00:13:12,88,13200,210.333333333333,3,normal
00:13:21,89,13350,1.66666666666667,3,normal
00:13:30,90,13500,146.333333333333,3,normal
00:13:39,91,13650,6.66666666666667,3,normal
00:13:48,92,13800,518.333333333333,3,normal
00:13:57,93,13950,548.666666666667,3,normal
00:14:06,94,14100,38,3,normal
00:14:15,95,14250,67.3333333333333,3,normal
00:14:24,96,14400,254.333333333333,3,normal
00:14:33,97,14550,70.6666666666667,3,normal
00:14:42,98,14700,0.666666666666667,3,normal
00:14:51,99,14850,1.33333333333333,3,normal
00:15:00,100,15000,526,3,normal
00:15:09,101,15150,79.6666666666667,3,normal
00:15:18,102,15300,89.3333333333333,3,normal
00:15:27,103,15450,1378.33333333333,3,normal
00:15:36,104,15600,297,3,normal
00:15:45,105,15750,538.666666666667,3,normal
00:15:54,106,15900,225.333333333333,3,normal
00:16:03,107,16050,1391.33333333333,3,normal
00:16:12,108,16200,1215.33333333333,3,normal
00:16:21,109,16350,880.666666666667,3,normal
00:16:30,110,16500,1.66666666666667,3,normal
00:16:39,111,16650,79.6666666666667,3,normal
00:16:48,112,16800,2681,3,normal
00:16:57,113,16950,3939,3,normal
00:17:06,114,17100,0.666666666666667,3,normal
00:17:15,115,17250,2,3,normal
00:17:24,116,17400,2413.33333333333,3,normal
00:17:33,117,17550,22.6666666666667,3,normal
00:17:42,118,17700,3162.66666666667,3,normal
00:17:51,119,17850,1,3,normal
00:18:00,120,18000,1.33333333333333,4,normal
00:18:09,121,18150,703,4,normal
00:18:18,122,18300,1347.66666666667,4,normal
00:18:27,123,18450,8.33333333333333,4,normal
00:18:36,124,18600,707.666666666667,4,normal
00:18:45,125,18750,213,4,normal
00:18:54,126,18900,587,4,normal
00:19:03,127,19050,1822.66666666667,4,normal
00:19:12,128,19200,0.333333333333333,4,normal
00:19:21,129,19350,987.333333333333,4,normal
00:19:30,130,19500,386,4,normal
00:19:39,131,19650,2412,4,normal
00:19:48,132,19800,113.666666666667,4,normal
00:19:57,133,19950,99,4,normal
00:20:06,134,20100,121.666666666667,4,normal
00:20:15,135,20250,578.333333333333,4,normal
00:20:24,136,20400,432.333333333333,4,normal
00:20:33,137,20550,1348.33333333333,4,normal
00:20:42,138,20700,2096,4,normal
00:20:51,139,20850,49.3333333333333,4,normal
00:21:00,140,21000,492.666666666667,4,normal
00:21:09,141,21150,479,4,normal
00:21:18,142,21300,1016.66666666667,4,normal
00:21:27,143,21450,754.333333333333,4,normal
00:21:36,144,21600,543,4,normal
00:21:45,145,21750,525.666666666667,5,normal
00:21:54,146,21900,5.66666666666667,5,normal
00:22:03,147,22050,1565.66666666667,5,normal
00:22:12,148,22200,351.333333333333,5,normal
00:22:21,149,22350,2604,5,normal
00:22:30,150,22500,2027,5,normal
00:22:39,151,22650,1771.66666666667,5,normal
00:22:48,152,22800,3735.66666666667,5,normal
00:22:57,153,22950,5946.33333333333,5,normal
00:23:06,154,23100,2869.33333333333,5,normal
00:23:15,155,23250,2554.66666666667,5,normal
00:23:24,156,23400,1734.66666666667,5,normal
00:23:33,157,23550,1963,5,normal
00:23:42,158,23700,787,5,normal
00:23:51,159,23850,0,5,normal
00:24:00,160,24000,322,5,normal
00:24:09,161,24150,725,5,normal
00:24:18,162,24300,9.66666666666667,5,normal
00:24:27,163,24450,36.6666666666667,5,normal
00:24:36,164,24600,1.33333333333333,5,normal
00:24:45,165,24750,56.6666666666667,5,normal
00:24:54,166,24900,268.333333333333,5,normal
00:25:03,167,25050,1381.66666666667,5,normal
00:25:12,168,25200,882.333333333333,5,normal
00:25:21,169,25350,9,5,normal
00:25:30,170,25500,0.666666666666667,6,narrative
00:25:39,171,25650,0,6,narrative
